Sectores de actividad;Motivos por los que no exiten puestos de trabajo vacantes;Periodo;Total
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2019T1;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2018T4;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2018T3;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2018T2;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2018T1;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2017T4;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2017T3;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2017T2;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2017T1;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2016T4;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2016T3;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2016T2;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2016T1;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2015T4;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2015T3;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2015T2;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2015T1;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2014T4;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2014T3;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2014T2;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2014T1;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2013T4;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Total;2013T3;100
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2024T4;92
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2024T3;92
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2024T2;92,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2024T1;91,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2023T4;93
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2023T3;93
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2023T2;93,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2023T1;93,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2022T4;94,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2022T3;94,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2022T2;94,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2022T1;94,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2021T4;94,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2021T3;95,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2021T2;94,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2021T1;94,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2020T4;95,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2020T3;94,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2020T2;94,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2020T1;94
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2019T4;92,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2019T3;93,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2019T2;93,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2019T1;93,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2018T4;93,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2018T3;93,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2018T2;94,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2018T1;93,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2017T4;93,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2017T3;93,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2017T2;93,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2017T1;93,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2016T4;93,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2016T3;93,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2016T2;93,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2016T1;93,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2015T4;92,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2015T3;93,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2015T2;92,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2015T1;93
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2014T4;92,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2014T3;93,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2014T2;92,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2014T1;92,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2013T4;93,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);No se necesita ningún trabajador;2013T3;93,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2024T4;4,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2024T3;4,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2024T2;4,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2024T1;4,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2023T4;3,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2023T3;3,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2023T2;3,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2023T1;3,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2022T4;3,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2022T3;3,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2022T2;3,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2022T1;3,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2021T4;2,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2021T3;2,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2021T2;2,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2021T1;2,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2020T4;2,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2020T3;3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2020T2;3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2020T1;3,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2019T4;4,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2019T3;4,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2019T2;4,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2019T1;4,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2018T4;5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2018T3;4,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2018T2;3,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2018T1;4,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2017T4;4,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2017T3;4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2017T2;4,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2017T1;4,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2016T4;4,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2016T3;4,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2016T2;4,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2016T1;4,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2015T4;5,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2015T3;4,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2015T2;5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2015T1;5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2014T4;5,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2014T3;5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2014T2;4,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2014T1;5,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2013T4;4,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Elevado coste de contratación;2013T3;4,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2024T4;3,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2024T3;3,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2024T2;3,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2024T1;3,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2023T4;3,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2023T3;3,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2023T2;2,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2023T1;2,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2022T4;2,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2022T3;2,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2022T2;2,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2022T1;2,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2021T4;2,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2021T3;2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2021T2;2,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2021T1;2,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2020T4;1,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2020T3;2,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2020T2;2,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2020T1;2,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2019T4;2,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2019T3;2,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2019T2;2,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2019T1;1,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2018T4;1,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2018T3;2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2018T2;2,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2018T1;2,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2017T4;2,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2017T3;2,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2017T2;1,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2017T1;1,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2016T4;1,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2016T3;1,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2016T2;1,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2016T1;2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2015T4;2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2015T3;1,9
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2015T2;2,3
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2015T1;2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2014T4;2,1
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2014T3;1,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2014T2;2,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2014T1;2,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2013T4;2,2
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Otros;2013T3;2,1
Industria;Total;2024T4;100
Industria;Total;2024T3;100
Industria;Total;2024T2;100
Industria;Total;2024T1;100
Industria;Total;2023T4;100
Industria;Total;2023T3;100
Industria;Total;2023T2;100
Industria;Total;2023T1;100
Industria;Total;2022T4;100
Industria;Total;2022T3;100
Industria;Total;2022T2;100
Industria;Total;2022T1;100
Industria;Total;2021T4;100
Industria;Total;2021T3;100
Industria;Total;2021T2;100
Industria;Total;2021T1;100
Industria;Total;2020T4;100
Industria;Total;2020T3;100
Industria;Total;2020T2;100
Industria;Total;2020T1;100
Industria;Total;2019T4;100
Industria;Total;2019T3;100
Industria;Total;2019T2;100
Industria;Total;2019T1;100
Industria;Total;2018T4;100
Industria;Total;2018T3;100
Industria;Total;2018T2;100
Industria;Total;2018T1;100
Industria;Total;2017T4;100
Industria;Total;2017T3;100
Industria;Total;2017T2;100
Industria;Total;2017T1;100
Industria;Total;2016T4;100
Industria;Total;2016T3;100
Industria;Total;2016T2;100
Industria;Total;2016T1;100
Industria;Total;2015T4;100
Industria;Total;2015T3;100
Industria;Total;2015T2;100
Industria;Total;2015T1;100
Industria;Total;2014T4;100
Industria;Total;2014T3;100
Industria;Total;2014T2;100
Industria;Total;2014T1;100
Industria;Total;2013T4;100
Industria;Total;2013T3;100
Industria;No se necesita ningún trabajador;2024T4;92,4
Industria;No se necesita ningún trabajador;2024T3;91,5
Industria;No se necesita ningún trabajador;2024T2;92
Industria;No se necesita ningún trabajador;2024T1;92,1
Industria;No se necesita ningún trabajador;2023T4;92,9
Industria;No se necesita ningún trabajador;2023T3;93,1
Industria;No se necesita ningún trabajador;2023T2;93,6
Industria;No se necesita ningún trabajador;2023T1;93,1
Industria;No se necesita ningún trabajador;2022T4;93,1
Industria;No se necesita ningún trabajador;2022T3;93,5
Industria;No se necesita ningún trabajador;2022T2;93,9
Industria;No se necesita ningún trabajador;2022T1;93,3
Industria;No se necesita ningún trabajador;2021T4;95,2
Industria;No se necesita ningún trabajador;2021T3;95,3
Industria;No se necesita ningún trabajador;2021T2;95,6
Industria;No se necesita ningún trabajador;2021T1;95,4
Industria;No se necesita ningún trabajador;2020T4;96,3
Industria;No se necesita ningún trabajador;2020T3;95,3
Industria;No se necesita ningún trabajador;2020T2;95,8
Industria;No se necesita ningún trabajador;2020T1;94,6
Industria;No se necesita ningún trabajador;2019T4;94,4
Industria;No se necesita ningún trabajador;2019T3;94,9
Industria;No se necesita ningún trabajador;2019T2;94,1
Industria;No se necesita ningún trabajador;2019T1;93,6
Industria;No se necesita ningún trabajador;2018T4;94,7
Industria;No se necesita ningún trabajador;2018T3;94,8
Industria;No se necesita ningún trabajador;2018T2;93,6
Industria;No se necesita ningún trabajador;2018T1;94,8
Industria;No se necesita ningún trabajador;2017T4;93
Industria;No se necesita ningún trabajador;2017T3;93,9
Industria;No se necesita ningún trabajador;2017T2;94,2
Industria;No se necesita ningún trabajador;2017T1;94,7
Industria;No se necesita ningún trabajador;2016T4;94,1
Industria;No se necesita ningún trabajador;2016T3;94,6
Industria;No se necesita ningún trabajador;2016T2;94,7
Industria;No se necesita ningún trabajador;2016T1;94,8
Industria;No se necesita ningún trabajador;2015T4;94,5
Industria;No se necesita ningún trabajador;2015T3;95,6
Industria;No se necesita ningún trabajador;2015T2;94,8
Industria;No se necesita ningún trabajador;2015T1;92,8
Industria;No se necesita ningún trabajador;2014T4;94,9
Industria;No se necesita ningún trabajador;2014T3;94,1
Industria;No se necesita ningún trabajador;2014T2;94,4
